Lease Number,Production Month,Production Year,Lease Oil Production (BBL),Lease Condensate Production (BBL),Lease Gas-Well-Gas Production (MCF),Lease Oil-Well-Gas Production (MCF),Lease Water Production (BBL),Producing Completions,Lease Max Water Depth (meters)
G05868,2,1999,0,0,0,0,0,0,1203
G05868,3,1999,106566,0,0,160605,204,1,1203
G05868,4,1999,347007,0,0,678027,10,1,1203
G05868,5,1999,73391,0,0,128737,0,1,1203
G05868,6,1999,604918,0,0,903559,0,1,1203
G05868,7,1999,1147112,0,0,1824979,0,2,1203
G05868,8,1999,1335169,0,0,2216746,0,2,1203
G05868,9,1999,1419051,0,0,2392229,0,2,1203
G05868,10,1999,1309964,0,0,2178916,0,2,1203
G05868,11,1999,1062690,0,0,1737422,0,1,1203
G05868,12,1999,1093452,0,0,1820799,0,1,1203
G05868,1,2000,1106331,0,0,1855042,0,1,1203
G05868,2,2000,1014364,0,0,1740571,0,1,1203
G05868,3,2000,1187690,0,0,2066541,0,2,1203
G05868,4,2000,1116838,0,0,1933084,0,2,1203
G05868,5,2000,1461439,0,0,2158143,1070,3,1203
G05868,6,2000,2157793,0,0,3229110,0,3,1203
G05868,7,2000,2306996,0,0,3521827,0,3,1203
G05868,8,2000,2222386,0,0,3370433,0,3,1203
G05868,9,2000,2149141,0,0,3172070,0,3,1203
G05868,10,2000,2188175,92104,504775,3206026,2448,4,1203
G05868,11,2000,2125748,399326,2454666,3214838,0,4,1203
G05868,12,2000,2176314,400655,2609135,3208613,0,4,1203
G05868,1,2001,2012789,372252,2564718,2768783,0,4,1203
G05868,2,2001,1824249,304409,2158913,2426443,71315,4,1203
G05868,3,2001,2074717,265898,2083441,2713818,163634,4,1203
G05868,4,2001,1928268,207080,1612448,2534825,156389,4,1203
G05868,5,2001,1917003,198053,1655430,2513041,195803,4,1203
G05868,6,2001,1849351,142408,1346055,2379631,226815,5,1203
G05868,7,2001,2060172,130797,1205662,2551313,227848,5,1203
G05868,8,2001,1947307,109592,960442,2378780,215867,5,1203
G05868,9,2001,1745970,91570,750490,2134045,178778,5,1203
G05868,10,2001,2286910,86863,995265,2853802,308489,5,1203
G05868,11,2001,2102418,74236,874622,2640624,296058,5,1203
G05868,12,2001,1930858,41031,764410,2429007,294200,5,1203
G05868,1,2002,2088740,25651,570748,2450135,236919,5,1203
G05868,2,2002,1907289,45165,675362,2286869,268207,5,1203
G05868,3,2002,1934272,65747,721568,2395734,278570,5,1203
G05868,4,2002,1936912,65423,775219,2514927,287173,5,1203
G05868,5,2002,1960500,85167,761178,2597283,278568,5,1203
G05868,6,2002,1930094,45753,727983,2507720,312885,5,1203
G05868,7,2002,1976168,45478,698705,2511568,324103,5,1203
G05868,8,2002,1960473,44495,629130,2572080,309442,5,1203
G05868,9,2002,1550318,30756,451621,2036911,226919,5,1203
G05868,10,2002,1722368,21396,310814,2187544,202901,5,1203
G05868,11,2002,1912544,30099,479102,2494467,279675,5,1203
G05868,12,2002,1917100,19814,273627,2683368,139109,5,1203
G05868,1,2003,1825251,46267,602857,2585924,302117,5,1203
G05868,2,2003,1649274,32102,474247,2094631,268824,5,1203
G05868,3,2003,1854950,28570,523815,2349459,303114,5,1203
G05868,4,2003,1758858,18745,445272,2196851,269846,5,1203
G05868,5,2003,1809269,16904,391447,2287491,247942,5,1203
G05868,6,2003,1737031,18248,481662,2190123,293601,5,1203
G05868,7,2003,1167403,8546,134091,1461468,78144,5,1203
G05868,8,2003,1828216,17570,366993,2296254,238879,5,1203
G05868,9,2003,1702971,15229,442100,2229996,291396,5,1203
G05868,10,2003,1678076,8137,179187,2309841,128345,5,1203
G05868,11,2003,1637766,14260,322554,1991957,239878,5,1203
G05868,12,2003,1676665,10631,248335,2063335,170480,5,1203
G05868,1,2004,1841959,3040,68964,2259506,52401,6,1203
G05868,2,2004,1869383,22144,118153,2244515,3715,6,1203
G05868,3,2004,1681616,203883,1672672,1995283,6892,6,1203
G05868,4,2004,1674411,234960,2088679,1970502,5921,6,1203
G05868,5,2004,1788027,285627,2163160,2151420,7599,6,1203
G05868,6,2004,1850561,263178,1892435,2303162,10522,6,1203
G05868,7,2004,1781843,237902,1860585,2213029,6085,6,1203
G05868,8,2004,1857464,212035,1979847,2270966,6955,6,1203
G05868,9,2004,1369664,124808,1359341,1568477,7298,6,1203
G05868,10,2004,1670027,79205,657252,2117495,117656,6,1203
G05868,11,2004,1720776,73134,923274,2060976,186708,6,1203
G05868,12,2004,1730158,9854,121763,2108848,46040,6,1203
G05868,1,2005,1689906,0,0,2102687,4875,5,1203
G05868,2,2005,1500529,0,0,1849783,7362,5,1203
G05868,3,2005,1674871,0,0,2070938,8697,5,1203
G05868,4,2005,1597838,0,0,1976643,13657,5,1203
G05868,5,2005,1564351,24177,285196,1986942,371184,6,1203
G05868,6,2005,1514785,33592,404435,1951236,273876,6,1203
G05868,7,2005,1331534,11916,91595,1716373,103527,6,1203
G05868,8,2005,1218169,0,0,1575487,34126,5,1203
G05868,9,2005,0,0,0,0,0,0,1203
G05868,10,2005,0,0,0,0,0,0,1203
G05868,11,2005,680547,0,0,666035,19035,5,1203
G05868,12,2005,1658671,0,0,2040899,35984,5,1203
G05868,1,2006,1571947,0,0,2054618,56435,5,1203
G05868,2,2006,1386297,0,0,1744078,51417,5,1203
G05868,3,2006,1466541,0,0,1890189,59195,5,1203
G05868,4,2006,1285958,0,0,1629692,46962,5,1203
G05868,5,2006,1338853,0,0,1677259,75988,5,1203
G05868,6,2006,1307177,0,0,1606545,74374,5,1203
G05868,7,2006,1306562,0,0,1577632,71046,5,1203
G05868,8,2006,1369998,0,0,1709022,97790,5,1203
G05868,9,2006,937842,0,0,1165995,65502,5,1203
G05868,10,2006,1289277,0,0,1603164,94484,5,1203
G05868,11,2006,1267509,0,0,1600802,93431,5,1203
G05868,12,2006,1166015,0,0,1524042,55444,5,1203
G05868,1,2007,1219792,0,0,1577220,93969,5,1203
G05868,2,2007,1160501,0,0,1444235,105880,5,1203
G05868,3,2007,1300890,0,0,1655120,101812,5,1203
G05868,4,2007,1086467,0,0,1408961,91981,5,1203
G05868,5,2007,1231333,0,0,1659097,103781,5,1203
G05868,6,2007,1206242,0,0,1679904,110728,5,1203
G05868,7,2007,1079020,0,0,1508905,95241,5,1203
G05868,8,2007,1159359,0,0,1665501,122461,5,1203
G05868,9,2007,1001120,0,0,1444131,98233,5,1203
G05868,10,2007,1124677,0,0,1597184,121784,5,1203
G05868,11,2007,685841,0,0,938185,67541,5,1203
G05868,12,2007,1137800,0,0,1568588,112992,5,1203
G05868,1,2008,1089926,0,0,1461431,110250,5,1203
G05868,2,2008,1004730,0,0,1344920,107324,5,1203
G05868,3,2008,1001188,0,0,1320656,107243,5,1203
G05868,4,2008,880920,0,0,1132309,95307,5,1203
G05868,5,2008,665347,0,0,873092,50673,5,1203
G05868,6,2008,797510,0,0,956030,59953,5,1203
G05868,7,2008,849054,0,0,1040658,87064,5,1203
G05868,8,2008,859850,0,0,1044553,102412,5,1203
G05868,9,2008,0,0,0,17,1,1,1203
G05868,10,2008,270845,0,0,296353,17489,5,1203
G05868,11,2008,887802,0,0,999431,88972,5,1203
G05868,12,2008,1013964,0,0,1150314,143611,5,1203
G05868,1,2009,931562,0,0,1096529,131969,5,1203
G05868,2,2009,835145,0,0,998152,120270,5,1203
G05868,3,2009,712752,0,0,812549,84466,5,1203
G05868,4,2009,833050,0,0,943874,108225,5,1203
G05868,5,2009,665879,0,0,785806,81661,5,1203
G05868,6,2009,649427,0,0,732889,65180,5,1203
G05868,7,2009,771254,0,0,881115,133996,5,1203
G05868,8,2009,624833,0,0,655317,123958,5,1203
G05868,9,2009,599100,0,0,601839,114427,5,1203
G05868,10,2009,831688,0,0,926444,163419,5,1203
G05868,11,2009,797691,0,0,948235,151485,5,1203
G05868,12,2009,793644,0,0,1002230,157929,5,1203
G05868,1,2010,753868,0,0,931262,161606,5,1203
G05868,2,2010,679356,0,0,795214,117112,5,1203
G05868,3,2010,598524,0,0,706126,101022,5,1203
G05868,4,2010,415537,0,0,435356,70242,5,1203
G05868,5,2010,862896,0,0,853511,137878,5,1203
G05868,6,2010,883854,0,0,974308,129985,5,1203
G05868,7,2010,656345,0,0,809633,110279,5,1203
G05868,8,2010,848975,0,0,966423,142850,5,1203
G05868,9,2010,721302,0,0,804694,127866,5,1203
G05868,10,2010,630812,0,0,735208,151893,5,1203
G05868,11,2010,503051,0,0,576189,147638,5,1203
G05868,12,2010,515938,0,0,626026,146051,5,1203
G05868,1,2011,798537,0,0,861916,126951,5,1203
G05868,2,2011,698892,0,0,715502,101708,5,1203
G05868,3,2011,706508,0,0,687065,107718,5,1203
G05868,4,2011,811155,0,0,869452,151540,5,1203
G05868,5,2011,823186,0,0,989210,157734,5,1203
G05868,6,2011,716868,0,0,878986,129842,5,1203
G05868,7,2011,642752,0,0,711353,114014,5,1203
G05868,8,2011,759746,0,0,812109,137683,5,1203
G05868,9,2011,767655,0,0,794853,139545,5,1203
G05868,10,2011,795644,0,0,838529,145049,5,1203
G05868,11,2011,616448,0,0,115265,129143,5,1203
G05868,12,2011,743803,0,0,899153,146871,5,1203
G05868,1,2012,774860,0,0,853855,171825,5,1203
G05868,2,2012,723003,0,0,765995,158300,5,1203
G05868,3,2012,777015,0,0,868379,173986,5,1203
G05868,4,2012,696127,0,0,801362,149467,5,1203
G05868,5,2012,216483,0,0,235517,47146,5,1203
G05868,6,2012,402969,0,0,450945,70858,4,1203
G05868,7,2012,804555,0,0,918176,195270,5,1203
G05868,8,2012,435654,0,0,505008,102238,5,1203
G05868,9,2012,473624,0,0,592772,92074,5,1203
G05868,10,2012,726560,0,0,816184,150668,5,1203
G05868,11,2012,681080,0,0,749925,157366,5,1203
G05868,12,2012,647386,0,0,768315,151382,5,1203
G05868,1,2013,499294,0,0,592961,139254,5,1203
G05868,2,2013,441534,0,0,567144,145924,4,1203
G05868,3,2013,464034,0,0,588291,154677,4,1203
G05868,4,2013,429688,0,0,528259,130013,4,1203
G05868,5,2013,449742,0,0,534453,115832,4,1203
G05868,6,2013,55511,0,0,67702,7933,4,1203
G05868,7,2013,461501,0,0,525893,105682,4,1203
G05868,8,2013,467111,0,0,571022,139384,4,1203
G05868,9,2013,467847,0,0,594969,118140,4,1203
G05868,10,2013,430917,0,0,519810,145714,4,1203
G05868,11,2013,391377,0,0,486344,137489,4,1203
G05868,12,2013,473867,0,0,585338,146612,5,1203
G05868,1,2014,491953,0,0,563467,144221,5,1203
G05868,2,2014,476832,0,0,583607,136912,5,1203
G05868,3,2014,555373,0,0,661951,153974,5,1203
G05868,4,2014,493681,0,0,591240,147092,5,1203
G05868,5,2014,512276,0,0,614042,141087,5,1203
G05868,6,2014,528461,0,0,659593,171684,5,1203
G05868,7,2014,480203,0,0,596349,181476,5,1203
G05868,8,2014,437983,0,0,566793,153783,5,1203
G05868,9,2014,473184,0,0,595015,167703,5,1203
G05868,10,2014,514200,0,0,641857,164142,5,1203
G05868,11,2014,512687,0,0,630867,179235,5,1203
G05868,12,2014,458373,0,0,566162,168670,5,1203
G05868,1,2015,382584,0,0,453567,135038,4,1203
G05868,2,2015,332935,0,0,398237,106134,4,1203
G05868,3,2015,328462,0,0,414967,134399,4,1203
G05868,4,2015,330361,0,0,395085,153138,4,1203
G05868,5,2015,341432,0,0,431330,126976,4,1203
G05868,6,2015,112922,0,0,129293,27220,3,1203
G05868,7,2015,332655,0,0,411529,119279,5,1203
G05868,8,2015,492611,0,0,672032,204161,5,1203
G05868,9,2015,328169,0,0,409902,110175,4,1203
G05868,10,2015,322345,0,0,368471,109024,4,1203
G05868,11,2015,331654,0,0,383587,125832,5,1203
G05868,12,2015,373255,0,0,439060,141563,5,1203
G05868,1,2016,845685,0,0,1099697,211214,5,1203
G05868,2,2016,385002,0,0,410380,172692,5,1203
G05868,3,2016,424438,0,0,477957,160885,4,1203
G05868,4,2016,417516,0,0,434283,164830,4,1203
G05868,5,2016,428862,0,0,458937,166977,4,1203
G05868,6,2016,421591,0,0,433368,159475,4,1203
G05868,7,2016,469729,0,0,496138,187880,4,1203
G05868,8,2016,467090,0,0,501106,172431,4,1203
G05868,9,2016,492400,0,0,511557,183118,4,1203
G05868,10,2016,506523,0,0,554656,186415,4,1203
G05868,11,2016,482674,0,0,533853,153346,4,1203
G05868,12,2016,451832,0,0,514158,156863,4,1203
G05868,1,2017,479251,0,0,564520,174410,4,1203
G05868,2,2017,451542,0,0,553127,171901,4,1203
G05868,3,2017,487020,0,0,577135,198878,4,1203
G05868,4,2017,484235,0,0,555321,252411,4,1203
G05868,5,2017,600760,0,0,660562,267728,4,1203
G05868,6,2017,491187,0,0,549396,212979,4,1203
G05868,7,2017,554947,0,0,683884,193955,4,1203
G05868,8,2017,594083,0,0,731977,211149,4,1203
G05868,9,2017,553343,0,0,705315,220498,4,1203
G05868,10,2017,437342,0,0,539073,162900,4,1203
G05868,11,2017,576149,0,0,655960,211444,4,1203
G05868,12,2017,560090,0,0,691059,206258,4,1203
G05868,1,2018,520427,0,0,641223,201766,4,1203
G05868,2,2018,339760,0,0,404488,153999,4,1203
G05868,3,2018,556193,0,0,578757,232309,4,1203
G05868,4,2018,242800,0,0,284599,104499,4,1203
G05868,5,2018,258825,0,0,249827,0,4,1203
G05868,6,2018,615587,0,0,703559,316139,4,1203
G05868,7,2018,428164,0,0,466022,85353,4,1203
G05868,8,2018,600637,0,0,566846,97506,4,1203
G05868,9,2018,530905,0,0,597483,115677,4,1203
G05868,10,2018,416208,0,0,479772,58123,4,1203
G05868,11,2018,497368,0,0,568710,122891,4,1203
G05868,12,2018,548352,0,0,583029,267919,4,1203
G05868,1,2019,407288,0,0,438963,272641,4,1203
G05868,2,2019,424491,0,0,446290,261849,4,1203
G05868,3,2019,438521,0,0,501027,272464,4,1203
G05868,4,2019,389246,0,0,430980,240021,4,1203
G05868,5,2019,398857,0,0,425224,320571,4,1203
G05868,6,2019,375321,0,0,435539,309431,4,1203
G05868,7,2019,399602,0,0,481593,304892,4,1203
G05868,8,2019,399980,0,0,472100,320586,4,1203
G05868,9,2019,341253,0,0,408215,305771,4,1203
G05868,10,2019,310091,0,0,380516,334511,4,1203
G05868,11,2019,247006,0,0,302242,337084,4,1203
G05868,12,2019,325512,0,0,387902,340099,4,1203
G05868,1,2020,327769,0,0,405266,293226,4,1203
G05868,2,2020,288454,0,0,354003,217216,4,1203
G05868,3,2020,286787,0,0,357414,244759,4,1203
G05868,4,2020,279134,0,0,359394,191816,4,1203
G05868,5,2020,238286,0,0,287882,189427,4,1203
G05868,6,2020,240426,0,0,272538,205295,4,1203
G05868,7,2020,189916,0,0,231640,163361,4,1203
G05868,8,2020,67067,0,0,86289,44515,4,1203
G05868,9,2020,119020,0,0,143371,106503,4,1203
G05868,10,2020,216033,0,0,259398,160816,4,1203
G05868,11,2020,169599,0,0,201979,145164,3,1203
G05868,12,2020,173129,0,0,224273,169665,3,1203
G05868,1,2021,175826,0,0,210653,124785,4,1203
G05868,2,2021,97856,0,0,132543,74785,3,1203
G05868,3,2021,299759,0,0,444677,180676,3,1203
G05868,4,2021,524541,0,0,816516,188044,3,1203
G05868,5,2021,540344,0,0,854478,222586,4,1203
G05868,6,2021,252785,0,0,387459,93272,3,1203
G05868,7,2021,552774,0,0,757269,236824,3,1203
G05868,8,2021,498637,0,0,723237,174995,3,1203
G05868,9,2021,0,0,0,0,0,0,1203
G05868,10,2021,0,0,0,0,0,0,1203
G05868,11,2021,160815,0,0,309960,105353,3,1203
G05868,12,2021,515249,0,0,722426,179042,3,1203
G05868,1,2022,176148,0,0,261303,120251,3,1203
G05868,2,2022,241316,0,0,287583,168910,5,1203
G05868,3,2022,272483,0,0,273401,35344,5,1203
G05868,4,2022,318042,0,0,345278,136057,5,1203
G05868,5,2022,0,0,0,0,0,0,1203
G05868,6,2022,466593,0,0,554044,39520,5,1203
G05868,7,2022,344481,0,0,359059,159326,4,1203
G05868,8,2022,400948,0,0,429892,115085,4,1203
G05868,9,2022,224367,0,0,176618,134142,5,1203
G05868,10,2022,516210,0,0,494148,377905,5,1203
G05868,11,2022,133442,0,0,163527,176149,4,1203
G05868,12,2022,274413,0,0,230426,94929,5,1203
G05868,1,2023,554797,0,0,590182,237261,5,1203
G05868,2,2023,489439,0,0,608421,276553,5,1203
G05868,3,2023,397833,0,0,465695,183244,3,1203
G05868,4,2023,374732,0,0,398429,172499,4,1203
G05868,5,2023,310991,0,0,336045,178508,3,1203
G05868,6,2023,377358,0,0,373469,208505,4,1203
G05868,7,2023,481475,0,0,462558,189121,4,1203
G05868,8,2023,553288,0,0,604889,234658,5,1203
G05868,9,2023,463224,0,0,528510,241753,5,1203
G05868,10,2023,610632,0,0,757187,354843,4,1203
G05868,11,2023,465431,0,0,437370,302458,4,1203
G05868,12,2023,444433,0,0,466946,313248,4,1203
G05868,1,2024,425568,0,0,474165,309641,4,1203
G05868,2,2024,434411,0,0,440318,269140,4,1203
G05868,3,2024,452157,0,0,471924,293950,4,1203
G05868,4,2024,398249,0,0,436273,305462,4,1203
G05868,5,2024,442193,0,0,467497,327008,4,1203
G05868,6,2024,337307,0,0,369930,223061,4,1203
G05868,7,2024,514633,0,0,573581,299688,4,1203
G05868,8,2024,427248,0,0,524066,282958,4,1203
G05868,9,2024,462041,0,0,550764,339351,4,1203
G05868,10,2024,377416,0,0,420695,320855,4,1203
G05868,11,2024,368771,0,0,376658,239332,3,1203
G05868,12,2024,363441,0,0,401354,227704,3,1203