REGION,BUS_PROCESS,APPROVAL_TYPE,APRV_DATE,REGULATION_NUMBER,WCR_REG,BUS_ASC_CODE,BUS_ASC_NAME,SHORT_DESCRIPTION,ATTR_LABEL_1,ATTR_VALUE_1,ATTR_LABEL_2,ATTR_VALUE_2,ATTR_LABEL_3,ATTR_VALUE_3,ATTR_LABEL_4,ATTR_VALUE_4,ATTR_LABEL_5,ATTR_VALUE_5
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 3:46:00 PM,30 CFR 250.1204(b)(1),N,2899,Talos ERT LLC,Periodic Well Test,API No(s). (Required),608114062900,Well Name(s),002,Location(s) (AA 0BBB),GC 0236,Lease No(s).,G34971,,
Gulf of Mexico,Revised New Well,Time Extension,11/22/2024 3:32:21 PM,30 CFR 250.722(a)(1), ,2481,BP Exploration & Production Inc.,Casing Test Extension,Lease,G09981,Area/Block,GC   825,Rig ID,51525,Well Name,  017,API Well Number,608114078300
Gulf of Mexico,Revised New Well,Time Extension,11/22/2024 3:32:21 PM,30 CFR 250.737(a)(3), ,2481,BP Exploration & Production Inc.,BSR Test Extension,Lease,G09981,Area/Block,GC   825,Rig ID,51525,Well Name,  017,API Well Number,608114078300
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 2:52:55 PM,30 CFR 250.816,N,3209,"Renaissance Offshore, LLC",Time Extension for SSSV testing or Annual No Flow Verification,Complex ID,21007,Area Code,EI,Block Number,  331,Facility Name,EI 331 - B,,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 2:32:50 PM,30 CFR 250.1204(b)(1),N,2899,Talos ERT LLC,Periodic Well Test,API No(s). (Required),608114065700,Well Name(s),001,Location(s) (AA 0BBB),GC 0280,Lease No(s).,G35658,,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 2:25:29 PM,30 CFR 250.1204(b)(1),N,2899,Talos ERT LLC,Periodic Well Test,API No(s). (Required),608114070801,Well Name(s),SS003,Location(s) (AA 0BBB),GC 0281,Lease No(s).,G33242,,
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 2:13:43 PM,30 CFR 250.520,N,276,Exxon Mobil Corporation,Time Extension for Casing Pressure Monitoring,Complex ID,24030,Area Code,VR,Block Number,  164,Facility Name,VR 164 - A,,
Gulf of Mexico,FSS Permit,Alternate Compliance,11/22/2024 2:11:44 PM,30 CFR 250.825(a),N,689,Shell Offshore Inc.,Incapable of Natural Flow - No SSSV,Complex ID,70004,Area Code,MC,Block Number,  809,Facility Name,MC 809 - A (Ursa),,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 1:56:21 PM,30 CFR 250.1203(c)(1),N,3,Union Oil Company of California,Gas Royalty Meter Calibrations,FMP No. (Required),3060812XW00,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),WR 0718   A,Meter Data,"Gas Sales Meters, Serial Num. AM2739581, AM2739589-2, and AM2739589-3",,
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 1:18:41 PM,30 CFR 250.880(c)(2)(i),N,3670,"White Fleet Operating, LLC","Time Extension for API RP 14C Device Testing (PSHL, LSHL, TSH, PSV, BSL, FSL, FSV, and SDV)",Complex ID,21567,Area Code,EI,Block Number,  259,Facility Name,EI 259 - B,,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 1:07:52 PM,30 CFR 250.1203(c)(1),N,78,Chevron U.S.A. Inc.,Gas Royalty Meter Calibrations,FMP No. (Required),3060812XW01,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),WR 0029   A,Meter Data,"Gas Sales Meters, Serial Num. AM2739585-1, AM2739585-2, AM2739585-3, AM2739586-1, AM2739586-2, and AM2739586-3",,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 1:00:39 PM,30 CFR 250.1203(c)(1),N,689,Shell Offshore Inc.,Gas Royalty Meter Calibrations,FMP No. (Required),3060817Q004,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),MC 0939   A,Meter Data,"Gas Sales Meters, Serial Num. 8477407-1, 8477407-2, 8477407-3, and 8477407-4",,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 12:54:00 PM,30 CFR 250.1204(b)(1),N,981,Anadarko Petroleum Corporation,Periodic Well Test,API No(s). (Required),"608084005602, 608084002001, 608084006300, 608084003900, 608084006900, 608084002403",Well Name(s),"SS007, SS001, SS005, SS006, SS004, SS005 ",Location(s) (AA 0BBB),"KC 0919, KC 0875, KC 0918",Lease No(s).,"G21447, G21444, G32654 ",,
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 12:30:39 PM,30 CFR 250.880(c)(2)(i),N,3670,"White Fleet Operating, LLC","Time Extension for API RP 14C Device Testing (PSHL, LSHL, TSH, PSV, BSL, FSL, FSV, and SDV)",Complex ID,21304,Area Code,EI,Block Number,  258,Facility Name,EI 258 - A/B,,
Gulf of Mexico,Pipeline Permits and Reports,Alternate Compliance,11/22/2024 10:00:32 AM,30 CFR 250.1003(b)(2),N,2066,"Ridgelake Energy, Inc.",250.1003(b)(2) - Alternate compliance request for pressure testing a pipeline after a repair,Segment Number(s),11804,ROW Number,G19699,Regulatory Authority,DOI,Departing Area-Block,SS 150,Terminating Area/Block,SS 154
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 9:39:14 AM,30 CFR 250.1204(b)(1),N,981,Anadarko Petroleum Corporation,Periodic Well Test,API No(s). (Required),608114062400,Well Name(s),SS002,Location(s) (AA 0BBB),GC 0859,Lease No(s).,G24194,,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 8:26:24 AM,30 CFR 250.1204(b)(1),N,981,Anadarko Petroleum Corporation,Periodic Well Test,API No(s). (Required),608114064000,Well Name(s),SS006,Location(s) (AA 0BBB),GC 0903,Lease No(s).,G24197,,
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 4:48:14 PM,30 CFR 250.1203(c)(1),N,2628,"Arena Offshore, LP",Gas Royalty Meter Calibrations,FMP No. (Required),3017709BB00,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),EI 0182   A,Meter Data,"Gas Sales Meter, Serial Num. CW93A-03359-A",,
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 3:34:52 PM,30 CFR 250.1203(c)(1),N,2628,"Arena Offshore, LP",Gas Royalty Meter Calibrations,FMP No. (Required),3117710BB04,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),EI 0330   B,Meter Data,"Gas Sales Meter, Serial Num. 93A03310",,
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 3:26:09 PM,30 CFR 250.1202(d)(3),N,3026,"Talos Energy Ventures, LLC",Liquid Hydrocarbon Royalty Meter Provings,FMP No. (Required),20177062959,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),VR 0356   A,Meter Data,"LACT Meters, Serial Num. AB152227 and R1504E10091",,
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 2:51:26 PM,30 CFR 250.1203(c)(1),N,3520,"Sanare Energy Partners, LLC",Gas Royalty Meter Calibrations,FMP No. (Required),3017700Y00X,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),WC 0021   G,Meter Data,"Gas Sales Meters, Serial Num. A05JB009-1 and A05JB009-2",,
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 2:34:08 PM,30 CFR 250.1204(b)(1),N,1284,"W & T Offshore, Inc.",Periodic Well Test,API No(s). (Required),"177114001300, 177114063300, 177114065600, 177114069100, 177114073700, 177114154200",Well Name(s),"A020, C001, C005, C010, C013, C017",Location(s) (AA 0BBB),SS 0229,Lease No(s).,00830,,
Gulf of Mexico,Revised New Well,Time Extension,11/21/2024 1:59:57 PM,30 CFR 250.737(a)(2), ,78,Chevron U.S.A. Inc.,72-hour Time Extension for BOP / BSR Pressure Test,Lease,G17016,Area/Block,WR   759,Rig ID,100036,Well Name,PS014,API Well Number,608124015400
Gulf of Mexico,Revised New Well,Time Extension,11/21/2024 1:59:57 PM,30 CFR 250.737(a)(2), ,78,Chevron U.S.A. Inc.,24-hour Time Extension for BOP / BSR Pressure Test,Lease,G17016,Area/Block,WR   759,Rig ID,100036,Well Name,PS014,API Well Number,608124015400
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 1:52:38 PM,30 CFR 250.1202(d)(3),N,1284,"W & T Offshore, Inc.",Liquid Hydrocarbon Royalty Meter Provings,FMP No. (Required),20427110153,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),HIA0379   B,Meter Data,"LACT Meters, Serial Num. 13913 and 216874",,
Gulf of Mexico,Measurement Verification,Time Extension,11/21/2024 1:21:00 PM,30 CFR 250.1203(c)(1),N,1284,"W & T Offshore, Inc.",Gas Royalty Meter Calibrations,FMP No. (Required),3042708SA00,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),HI 0022   A,Meter Data,"Gas Sales Meter, Serial Num. T160145211-02",,
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/21/2024 12:35:06 PM,30 CFR 250.737(a)(2), ,2647,Murphy Exploration & Production Company - USA,APM - Not pressure test BOPs while Subsea Test Tree (SSTT) is across the stack,Lease,G22868,Area/Block,MC   300,Rig ID,51090,Well Name,  003,API Well Number,608174148900
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/21/2024 12:35:06 PM,30 CFR 250.737(d)(9), ,2647,Murphy Exploration & Production Company - USA,APM - Not function test BOPs while Subsea Test Tree (SSTT) or tubing with control lines/umbilicals across the stack ,Lease,G22868,Area/Block,MC   300,Rig ID,51090,Well Name,  003,API Well Number,608174148900
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/21/2024 12:35:06 PM,30 CFR 250.737(c), ,2647,Murphy Exploration & Production Company - USA,Digital BOP testing ,Lease,G22868,Area/Block,MC   300,Rig ID,51090,Well Name,  003,API Well Number,608174148900
Gulf of Mexico,RPM ABANDON,Alternate Compliance,11/21/2024 12:24:48 PM,30 CFR 250.1715(a)(3), ,2481,BP Exploration & Production Inc.,Plug depth,Lease,G06280,Area/Block,EB   165,Rig ID,49979,Well Name, A022,API Well Number,608044013700
Gulf of Mexico,FSS Permit,Alternate Compliance,11/21/2024 9:55:48 AM,30 CFR 250.862(a),N,1284,"W & T Offshore, Inc.",ADEQUATE VENTILATION- NO GAS DETECTOR,Complex ID,928,Area Code,MP,Block Number,   61,Facility Name,MP 61 - A,,
Gulf of Mexico,Structure Permits and Reports,Time Extension,11/21/2024 9:38:16 AM,30 CFR 250.1729,N,105,Apache Corporation,Time Extension for Removal Completion Report ,Complex ID - Str No.,1620-3,Area Code,GA,Block Number,210,Structure Name,B,Application Year - Number,2023
Gulf of Mexico,Structure Permits and Reports,Time Extension,11/21/2024 9:35:51 AM,30 CFR 250.1729,N,105,Apache Corporation,Time Extension for Removal Completion Report ,Complex ID - Str No.,1620-2,Area Code,GA,Block Number,210,Structure Name,2,Application Year - Number,2023
Gulf of Mexico,Structure Permits and Reports,Time Extension,11/21/2024 9:33:01 AM,30 CFR 250.1729,N,105,Apache Corporation,Time Extension for Removal Completion Report ,Complex ID - Str No.,1620-1,Area Code,GA,Block Number,210,Structure Name,1,Application Year - Number,2023
Gulf of Mexico,FSS Permit,Alternate Compliance,11/21/2024 9:22:59 AM,30 CFR 250.723(c)(2),N,981,Anadarko Petroleum Corporation,MOB/DEMOB RIG unit w/o S/I production,Complex ID,876,Area Code,MC,Block Number,  127,Facility Name,MC 127 - A(Horn Mountain,,
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/21/2024 9:17:57 AM,30 CFR 250.1715(a)(4), ,3670,"White Fleet Operating, LLC",Stub Plug < 50' from Stub,Lease,G02433,Area/Block,HI A 368,Rig ID,49979,Well Name, A012,API Well Number,427114082100
Gulf of Mexico,FSS Permit,Time Extension,11/21/2024 7:29:01 AM,30 CFR 250.520,N,78,Chevron U.S.A. Inc.,Time Extension for Casing Pressure Monitoring,Complex ID,23631,Area Code,VR,Block Number,  245,Facility Name,VR 245 - F,,
Gulf of Mexico,Measurement Verification,Time Extension,11/20/2024 3:47:09 PM,30 CFR 250.1202(d)(3),N,3026,"Talos Energy Ventures, LLC",Liquid Hydrocarbon Royalty Meter Provings,FMP No. (Required),20608102952,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),EW 1003   A,Meter Data,"LACT Meters, Serial Num. 800404 and 800406",,
Gulf of Mexico,Measurement Verification,Time Extension,11/20/2024 3:39:11 PM,30 CFR 250.1202(d)(3),N,2058,"LLOG Exploration Offshore, L.L.C.",Liquid Hydrocarbon Royalty Meter Provings,FMP No. (Required),20608173655,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),MC 0547   A,Meter Data,"LACT Meters, Serial Num. 9006823 and 9006824",,
Gulf of Mexico,Measurement Verification,Time Extension,11/20/2024 3:29:49 PM,30 CFR 250.1203(c)(1),N,2481,BP Exploration & Production Inc.,Gas Royalty Meter Calibrations,FMP No. (Required),3060811H00B,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),GC 0780   A,Meter Data,"Gas Sales Meters, Serial Num. A18CG010-1, A18CG010-2, A18CG010-3, and A18CG010-4",,
Gulf of Mexico,Measurement Verification,Time Extension,11/20/2024 3:25:27 PM,30 CFR 250.1203(c)(1),N,2481,BP Exploration & Production Inc.,Gas Royalty Meter Calibrations,FMP No. (Required),3060811H003,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),GC 0782   A,Meter Data,"Gas Sales Meters, Serial Num. AM2739548-1, AM2739548-2, and AM2739549",,
Gulf of Mexico,FSS Permit,Alternate Compliance,11/20/2024 3:08:57 PM,30 CFR 250.107,N,59,Hess Corporation,Pressurized Welding Enclosure,Complex ID,33039,Area Code,GB,Block Number,  260,Facility Name,GB 260 - A (Bald Pate),,
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/20/2024 2:46:26 PM,30 CFR 250.619(b)(1)(ii), ,2481,BP Exploration & Production Inc.,Not monitor A Annulus pressure due to closed AMV prior to and/or after well work,Lease,G09868,Area/Block,MC   778,Rig ID,50941,Well Name,TF001,API Well Number,608174112201
Gulf of Mexico,FSS Permit,Time Extension,11/20/2024 2:43:37 PM,30 CFR 250.880(c)(2)(iv),N,689,Shell Offshore Inc.,Time Extension for SSV Testing,Complex ID,90014,Area Code,GB,Block Number,  172,Facility Name,GB 172 - B (SALSA),,
Gulf of Mexico,Measurement Verification,Time Extension,11/20/2024 2:20:29 PM,30 CFR 250.1204(b)(1),N,2628,"Arena Offshore, LP",Periodic Well Test,API No(s). (Required),177064098404,Well Name(s),A004,Location(s) (AA 0BBB),VR 0342,Lease No(s).,G33608,,
Gulf of Mexico,Measurement Verification,Time Extension,11/20/2024 1:58:08 PM,30 CFR 250.1202(d)(3),N,2481,BP Exploration & Production Inc.,Liquid Hydrocarbon Royalty Meter Provings,FMP No. (Required),20608110251,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),GC 0782   A,Meter Data,"LACT Meters, Serial Num. 9023628, 9023760, and 9023863",,
Gulf of Mexico,Structure Permits and Reports,Time Extension,11/20/2024 1:31:35 PM,30 CFR 250.1740,N,105,Apache Corporation,Time Extension for Site Clearance Verification,Complex ID - Str No.,263-1,Area Code,EI,Block Number,120,Structure Name,17,Application Year - Number,2024
Gulf of Mexico,FSS Permit,Alternate Compliance,11/20/2024 12:32:59 PM,30 CFR 250.518(c),N,3670,"White Fleet Operating, LLC",Monitoring Casing Pressure with Casing Integrity Loss at Surface,Complex ID,23993,Area Code,EI,Block Number,  255,Facility Name,EI 255 - H,,
